year,agegrp,sex,dimd,population_size,clbr,population_size_calibrated
2013,70-74,women,7,125380,1106851,125155.373071895
2013,70-74,women,8,126031,1106851,125805.20676044
2013,70-74,women,9,127642,1106851,127413.320542693
2013,70-74,women,10 least deprived,127052,1106851,126824.377568435
2013,75-79,women,1 most deprived,72656,944545,72501.5412415502
2013,75-79,women,2,75301,944545,75140.918259056
2013,75-79,women,3,81714,944545,81540.2849181352
2013,75-79,women,4,88667,944545,88478.5035959113
2013,75-79,women,5,97256,944545,97049.244315517
2013,75-79,women,6,101977,944545,101760.20798268
2013,75-79,women,7,105077,944545,104853.617719643
2013,75-79,women,8,105535,944545,105310.644061426
2013,75-79,women,9,107537,944545,107308.388027039
2013,75-79,women,10 least deprived,108825,944545,108593.649879042
2013,80-84,women,1 most deprived,56598,751132,56430.3456463045
2013,80-84,women,2,61270,751132,61088.506267873
2013,80-84,women,3,66231,751132,66034.8108148768
2013,80-84,women,4,72259,751132,72044.9546990409
2013,80-84,women,5,78058,751132,77826.7769260263
2013,80-84,women,6,81936,751132,81693.2895310012
2013,80-84,women,7,82907,751132,82661.4132389513
2013,80-84,women,8,83337,751132,83090.1394947892
2013,80-84,women,9,84124,751132,83874.8082467529
2013,80-84,women,10 least deprived,84412,751132,84161.9551343838
2013,85-89,women,1 most deprived,36977,495544,36870.8917755033
2013,85-89,women,2,41041,495544,40923.2298282292
2013,85-89,women,3,44666,495544,44537.8276237832
2013,85-89,women,4,48414,495544,48275.0724617794
2013,85-89,women,5,52102,495544,51952.489474194
2013,85-89,women,6,54616,495544,54459.2753660624
2013,85-89,women,7,54502,495544,54345.6024974573
2013,85-89,women,8,54579,495544,54422.381540287
2013,85-89,women,9,55113,495544,54954.8491879631
2013,85-89,women,10 least deprived,53534,495544,53380.3802447411
2013,90-94,women,1 most deprived,17818,250390,18122.853676265
2013,90-94,women,2,19994,250390,20336.0835336875
2013,90-94,women,3,22551,250390,22936.8320380207
2013,90-94,women,4,24620,250390,25041.2311993291
2013,90-94,women,5,26732,250390,27189.3660609449
2013,90-94,women,6,28375,250390,28860.476656416
2013,90-94,women,7,28182,250390,28664.1745596869
2013,90-94,women,8,28248,250390,28731.3037741124
2013,90-94,women,9,27701,250390,28174.9449818284
2013,90-94,women,10 least deprived,26169,250390,26616.7335197093
2013,95-99,women,1 most deprived,5146,72315,4811.18799695775
2013,95-99,women,2,5774,72315,5398.32870082279
2013,95-99,women,3,6513,72315,6089.2474590334
2013,95-99,women,4,7111,72315,6648.34004010233
2013,95-99,women,5,7721,72315,7218.65187028971
2013,95-99,women,6,8195,72315,7661.81221046809
2013,95-99,women,7,8139,72315,7609.45571458204
2013,95-99,women,8,8158,72315,7627.21952568623
2013,95-99,women,9,8000,72315,7479.49941229344
2013,95-99,women,10 least deprived,7558,72315,7066.25706976423
2014,<1,men,1 most deprived,39718,340315,39524.729036334
2014,<1,men,2,40624,340315,40426.3203678944
2014,<1,men,3,42248,340315,42042.417854047
2014,<1,men,4,39856,340315,39662.0575173002
2014,<1,men,5,35884,340315,35709.3855868827
2014,<1,men,6,33390,340315,33227.5215902914
2014,<1,men,7,30455,340315,30306.8035349603
2014,<1,men,8,29175,340315,29033.0321173031
2014,<1,men,9,26703,340315,26573.0610669527
2014,<1,men,10 least deprived,22262,340315,22153.6713280343
2014,01-04,men,1 most deprived,188774,1417416,187000.418103083
2014,01-04,men,2,175791,1417416,174139.396838331
2014,01-04,men,3,162692,1417416,161163.465424406
2014,01-04,men,4,148263,1417416,146870.02971393
2014,01-04,men,5,135543,1417416,134269.537494285
2014,01-04,men,6,131507,1417416,130271.456786857
2014,01-04,men,7,121611,1417416,120468.432336731
2014,01-04,men,8,121859,1417416,120714.102310825
2014,01-04,men,9,117863,1417416,116755.645792767
2014,01-04,men,10 least deprived,113513,1417416,112446.515198784
