year,age,sex,pops
11,34,men,330196
11,34,women,327842
11,35,men,334046
11,35,women,334931
11,36,men,340309
11,36,women,341747
11,37,men,345224
11,37,women,348338
11,38,men,360518
11,38,women,363211
11,39,men,375560
11,39,women,378488
11,40,men,385058
11,40,women,393469
11,41,men,376049
11,41,women,383443
11,42,men,384557
11,42,women,393354
11,43,men,384595
11,43,women,392455
11,44,men,391659
11,44,women,396844
11,45,men,389810
11,45,women,399415
11,46,men,392097
11,46,women,401209
11,47,men,388933
11,47,women,397082
11,48,men,381317
11,48,women,388739
11,49,men,373943
11,49,women,379531
11,50,men,361409
11,50,women,366327
11,51,men,346924
11,51,women,351937
11,52,men,339352
11,52,women,344086
11,53,men,332154
11,53,women,336435
11,54,men,319149
11,54,women,324806
11,55,men,308806
11,55,women,313516
11,56,men,297135
11,56,women,303305
11,57,men,297836
11,57,women,305403
11,58,men,295033
11,58,women,301455
11,59,men,285974
11,59,women,295038
11,60,men,288397
11,60,women,297457
11,61,men,293435
11,61,women,305710
11,62,men,302337
11,62,women,313305
11,63,men,319545
11,63,women,332459
11,64,men,348284
11,64,women,361362
11,65,men,268158
11,65,women,280482
11,66,men,260309
11,66,women,273585
11,67,men,259773
11,67,women,273394
11,68,men,240572
11,68,women,256467
11,69,men,213801
11,69,women,231079
11,70,men,191917
11,70,women,210047
11,71,men,199921
11,71,women,219818
11,72,men,197591
11,72,women,219848
11,73,men,192255
11,73,women,214700
11,74,men,181894
11,74,women,206560
11,75,men,171911
11,75,women,198752
11,76,men,162735
11,76,women,191159
11,77,men,149477
11,77,women,180146
11,78,men,140940
11,78,women,174360
11,79,men,136064
11,79,women,172787
11,80,men,127395
11,80,women,168522
11,81,men,116429
11,81,women,160681
11,82,men,104119
11,82,women,148184
11,83,men,92560
11,83,women,136864
11,84,men,83689
11,84,women,127404
11,85,men,74160
11,85,women,118928
11,86,men,63615
11,86,women,108907
11,87,men,54463
11,87,women,99659
11,88,men,46119
11,88,women,90656
11,89,men,39749
11,89,women,82648
11,90,men,34065
11,90,women,75173
11,91,men,27726
11,91,women,66292
11,92,men,13798
11,92,women,36091
11,93,men,9908
11,93,women,28311
11,94,men,8159
11,94,women,24961
11,95,men,6189
11,95,women,20681
11,96,men,4499
11,96,women,16311
11,97,men,2990
11,97,women,11970
11,98,men,1910
11,98,women,8500
11,99,men,2560
11,99,women,14320
12,30,men,365014
12,30,women,372298
12,31,men,369722
12,31,women,375398
12,32,men,371796
12,32,women,375295
12,33,men,358718
12,33,women,359455
12,34,men,335657
12,34,women,335193
12,35,men,330933
12,35,women,329791
12,36,men,335127
12,36,women,336760
12,37,men,341346
12,37,women,343521
12,38,men,346067
12,38,women,349948
12,39,men,361200
12,39,women,364662
12,40,men,375876
12,40,women,379793
12,41,men,385792
12,41,women,394838
12,42,men,376810
12,42,women,384737
12,43,men,385493
12,43,women,394544
12,44,men,385262
12,44,women,393562
12,45,men,391912
12,45,women,397609
12,46,men,389905
12,46,women,399913
12,47,men,392063
12,47,women,401625
12,48,men,388781
12,48,women,397366
12,49,men,380920
12,49,women,388844
12,50,men,373477
12,50,women,379669
12,51,men,360983
12,51,women,366078
12,52,men,346448
12,52,women,351621
12,53,men,338552
12,53,women,343760
12,54,men,331075
12,54,women,335856
12,55,men,317990
12,55,women,324117
12,56,men,307397
12,56,women,312544
12,57,men,295601
12,57,women,302331
12,58,men,296030
12,58,women,304261
12,59,men,292995
12,59,women,300166
12,60,men,283817
12,60,women,293661
12,61,men,286108
12,61,women,295940
12,62,men,290756
12,62,women,303888
12,63,men,299254
12,63,women,311396
12,64,men,316119
12,64,women,330332
